Salary,YearsCode,EdLevel,RemoteWork,Is_USA
25532.0,12.0,Bachelors,Remote,0
73000.0,8.0,Bachelors,Hybrid,1
33568.0,25.0,Masters,Remote,0
28458.0,4.0,Bachelors,Remote,0
110000.0,38.0,Bachelors,Hybrid,1
45000.0,13.0,Bachelors,Remote,0
214812.0,20.0,Masters,Hybrid,0
64444.0,40.0,Masters,Hybrid,0
96937.0,26.0,Bachelors,Remote,0
70888.0,11.0,Bachelors,Remote,0
140000.0,15.0,Bachelors,Remote,1
37592.0,14.0,Bachelors,Hybrid,0
123000.0,7.0,Masters,In-person,1
98089.0,43.0,Masters,Remote,0
31483.0,19.0,Masters,Remote,0
65152.0,10.0,Bachelors,Remote,0
64444.0,11.0,Masters,Remote,0
139271.0,16.0,Bachelors,Remote,0
45111.0,14.0,Masters,Remote,0
53703.0,10.0,Bachelors,Hybrid,0
50400.0,15.0,Masters,Remote,0
48916.0,10.0,Bachelors,Hybrid,0
207000.0,13.0,Bachelors,Remote,1
122443.0,18.0,Masters,Remote,0
91295.0,15.0,Masters,Remote,0
79962.0,19.0,Masters,Hybrid,0
69814.0,10.0,Bachelors,Hybrid,0
71874.0,25.0,Bachelors,Remote,0
81663.0,20.0,Bachelors,Hybrid,0
52800.0,16.0,Bachelors,Remote,0
50955.0,22.0,Bachelors,Hybrid,0
150000.0,12.0,Bachelors,Remote,1
20577.0,12.0,Bachelors,Remote,0
56917.0,10.0,Masters,Hybrid,0
75000.0,9.0,Bachelors,Hybrid,1
87500.0,12.0,Masters,Hybrid,1
70000.0,11.0,Bachelors,In-person,1
152000.0,19.0,Bachelors,Remote,1
125859.0,15.0,Bachelors,Remote,0
77332.0,15.0,Masters,In-person,0
135000.0,30.0,Bachelors,Remote,1
37592.0,4.0,Masters,Hybrid,0
165000.0,23.0,Masters,Hybrid,1
116309.0,42.0,Bachelors,Hybrid,0
50955.0,10.0,Masters,In-person,0
165000.0,42.0,Masters,Remote,1
125000.0,14.0,Masters,Hybrid,1
200000.0,11.0,Bachelors,Remote,1
130000.0,15.0,Bachelors,Remote,1
102000.0,10.0,Masters,Remote,1
53171.0,26.0,Bachelors,Hybrid,0
65000.0,6.0,Bachelors,Hybrid,1
44586.0,13.0,Bachelors,Remote,0
192000.0,16.0,Bachelors,In-person,1
96666.0,30.0,Masters,Remote,0
69814.0,21.0,Masters,Hybrid,0
100000.0,45.0,Bachelors,In-person,1
163000.0,25.0,Bachelors,Remote,1
53703.0,9.0,Bachelors,Hybrid,0
30512.0,19.0,Bachelors,Hybrid,0
115999.0,15.0,Bachelors,Hybrid,0
86401.0,12.0,Bachelors,Hybrid,0
180000.0,20.0,Bachelors,Remote,1
21481.0,15.0,Masters,In-person,0
115000.0,13.0,Bachelors,Remote,1
86309.0,25.0,Bachelors,Remote,0
102036.0,12.0,Bachelors,Remote,0
70000.0,7.0,Bachelors,Remote,0
53703.0,6.0,Masters,Hybrid,0
69814.0,32.0,Masters,Hybrid,0
140000.0,9.0,Bachelors,Hybrid,1
102500.0,7.0,Bachelors,Remote,1
108000.0,15.0,Bachelors,Hybrid,1
